cuid,created_at,provider,model,survey,temperature,input_tokens,output_tokens,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,R,invalid
8b033f39-6fff-4377-815a-caa85e918b38,2025-05-22T13:44:51Z,anthropic,claude-3-7-sonnet-20250219-think=low,uppsala_speaks,0,5172,1480,7,6,3,5,6,4,3,6,4,4,5,4,2,6,6,5,4,6,3,3,4,3,4,3,4,2,3,3,4,5,2,5,4,6,2,2,3,5,4,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,7,5,3,6,1,4,2,NA,NA,NA,Address root causes while providing humane support; avoid punishing poverty or restricting freedoms.,FALSE
eb6b9e15-925d-4129-a229-a835a4e74e25,2025-05-22T13:39:22Z,anthropic,claude-3-7-sonnet-20250219-think=low,valsamoggia,0,5497,1228,6,8,5,7,6,2,6,10,1,1,8,1,4,11,3,9,7,10,1,8,7,7,8,3,6,4,4,5,5,2,9,2,3,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,2,NA,NA,NA,NA,NA,NA,Amalgamation offers economic benefits and efficiency while postponement addresses implementation concerns.,FALSE
487bbf9d-3375-4b76-a259-7bde8c98bd99,2025-05-22T14:12:35Z,anthropic,claude-3-7-sonnet-20250219-think=low,valsamoggia,0,5592,1230,6,10,3,9,6,1,5,9,3,1,11,3,2,6,4,7,8,10,1,10,8,8,11,2,7,5,4,3,5,4,9,5,2,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,3,NA,NA,NA,NA,NA,NA,"Amalgamation offers clear economic, political, and development benefits that outweigh concerns.",FALSE
ab807975-745b-4a7a-ba78-46b4f5171a6b,2025-05-22T14:12:59Z,anthropic,claude-3-7-sonnet-20250219-think=low,valsamoggia,0,6184,1603,5,8,6,8,5,2,3,7,4,1,6,3,3,3,4,11,7,8,1,9,6,7,10,2,6,5,2,5,4,2,6,4,4,5,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,2,NA,NA,NA,NA,NA,NA,Amalgamation offers innovation and political strength; postponing is cautious; union power lacks vision.,FALSE
68ed5a09-4207-4836-94ff-91bd6eda1963,2025-05-22T14:13:31Z,anthropic,claude-3-7-sonnet-20250219-think=low,valsamoggia,0,5460,1081,5,9,2,8,5,4,6,8,1,1,9,3,3,9,5,10,8,10,2,11,7,10,11,6,5,4,4,2,4,3,7,6,3,8,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,2,NA,NA,NA,NA,NA,NA,"Amalgamation offers resource efficiency, political strength, and development potential for the region.",FALSE
135c4ff2-1bc5-4b4c-9b14-5f93d6c47f3e,2025-05-22T14:13:54Z,anthropic,claude-3-7-sonnet-20250219-think=low,valsamoggia,0,5484,1109,5,10,3,7,6,1,6,9,2,2,8,3,4,11,6,9,8,10,1,9,7,8,10,3,5,4,5,4,5,2,8,2,4,7,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,2,NA,NA,NA,NA,NA,NA,"Amalgamation offers economic benefits, improved services and political power while status quo is unsustainable.",FALSE
4cabd398-b1c5-4fc8-a7fd-363f0917ef68,2025-05-22T13:35:39Z,anthropic,claude-3-7-sonnet-20250219-think=low,zh_thalwil,0,5765,1891,1,7,1,3,3,1,1,3,3,2,1,7,7,2,7,7,7,2,1,6,6,5,7,2,6,7,1,1,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,4,1,2,7,3,NA,NA,NA,Prioritized ambitious emission cuts and comprehensive adaptation over moderate or economy-focused options.,FALSE
7b37460a-8c7a-4005-ba95-f1c01fb9fe9a,2025-05-22T13:57:15Z,anthropic,claude-3-7-sonnet-20250219-think=low,zh_thalwil,0,4736,1339,1,7,2,3,4,1,1,4,3,2,1,6,6,2,7,7,7,1,1,6,5,6,6,1,6,7,1,1,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,7,3,6,5,NA,NA,NA,Prioritized strong emissions cuts and adaptation measures over moderate action or economic focus.,FALSE
52a0b3b5-b173-4622-9c25-8dd97ce70722,2025-05-22T13:57:40Z,anthropic,claude-3-7-sonnet-20250219-think=low,zh_thalwil,0,5136,1479,1,7,1,3,4,1,1,4,3,2,1,6,7,2,7,7,7,2,1,6,6,5,7,1,7,7,1,1,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,5,1,2,4,3,NA,NA,NA,Prioritizing urgent emissions cuts and adaptation planning over inadequate actions or economics-first approaches.,FALSE
ba0e7a8a-9cf4-4c27-aa5a-4def38d89b38,2025-05-22T13:58:06Z,anthropic,claude-3-7-sonnet-20250219-think=low,zh_thalwil,0,5436,1667,1,7,1,3,4,1,1,3,4,2,1,7,6,2,7,7,7,2,1,6,6,5,6,2,6,7,2,1,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2,1,4,5,3,NA,NA,NA,"Favored aggressive mitigation, then adaptation measures, with inaction and economics-first ranked last.",FALSE
60fdb752-eee9-4c73-a5cb-6db53983f874,2025-05-22T13:58:38Z,anthropic,claude-3-7-sonnet-20250219-think=low,zh_thalwil,0,4858,1280,2,7,2,3,4,1,1,4,3,2,1,6,6,2,7,7,7,1,2,6,6,6,6,2,6,7,2,1,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,1,5,3,4,2,NA,NA,NA,I prioritized emission cuts and adaptation while balancing technological innovation and community action.,FALSE
8825e7b0-977c-4874-9419-b98a13277534,2025-05-22T13:34:49Z,anthropic,claude-3-7-sonnet-20250219-think=low,zh_uster,0,5853,1957,1,7,1,3,4,1,2,5,5,2,1,7,6,1,7,7,7,2,1,4,6,5,6,2,7,7,2,1,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,3,1,6,7,NA,NA,NA,Prioritized dramatic emission cuts and adaptation while opposing status quo and technology-only solutions.,FALSE
4aa2f38e-f8ab-4f81-87ea-b2ee9be00523,2025-05-22T13:55:04Z,anthropic,claude-3-7-sonnet-20250219-think=low,zh_uster,0,5669,1755,1,7,1,3,5,1,1,4,5,1,1,7,6,1,7,7,7,1,1,5,6,6,7,2,7,7,1,1,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,4,1,3,2,5,NA,NA,NA,Prioritized strong climate action and community adaptation over economic interests or status quo.,FALSE
ae00a79c-58a9-4fd9-bf23-7d4ade06bcd6,2025-05-22T13:55:34Z,anthropic,claude-3-7-sonnet-20250219-think=low,zh_uster,0,5947,1974,2,7,1,3,4,1,1,4,4,2,1,6,6,1,6,7,7,2,1,5,6,5,6,3,6,7,2,1,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,5,1,2,3,4,NA,NA,NA,Dramatic emissions reduction and robust adaptation are necessary; status quo and economics-first won't suffice.,FALSE
42aa6df7-c805-4969-ae1d-c7331314c38d,2025-05-22T13:56:09Z,anthropic,claude-3-7-sonnet-20250219-think=low,zh_uster,0,5209,1545,1,7,1,3,3,1,1,4,4,2,1,6,5,2,6,7,6,2,1,4,5,5,6,2,6,7,1,1,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,5,1,4,2,3,NA,NA,NA,"Bold climate action needed, prioritizing emissions cuts and community adaptation over status quo.",FALSE
06768316-0927-44b2-90f1-7baa7eed5eb0,2025-05-22T13:56:35Z,anthropic,claude-3-7-sonnet-20250219-think=low,zh_uster,0,7131,2537,1,7,1,3,3,1,1,4,4,1,1,7,6,1,7,7,7,1,1,4,6,5,7,2,7,7,2,1,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,5,1,3,2,4,NA,NA,NA,"Bold climate action needed, prioritizing emissions cuts while supporting community adaptation.",FALSE
99f7ca49-baf7-45be-b942-4569a3c657e0,2025-05-22T13:36:15Z,anthropic,claude-3-7-sonnet-20250219-think=low,zh_winterthur,0,5140,1633,1,7,7,1,7,7,7,3,5,5,1,6,4,5,3,6,4,6,5,5,3,2,5,7,5,7,6,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,3,6,4,1,NA,NA,NA,NA,Research and incentives offer sustainable progress without economic disruption from extreme policies.,FALSE
3a45047e-9d92-497b-90ca-7bb82443f88b,2025-05-22T13:59:01Z,anthropic,claude-3-7-sonnet-20250219-think=low,zh_winterthur,0,6281,2258,1,7,7,2,7,7,7,2,5,5,1,6,4,5,4,6,4,5,4,6,4,3,5,7,5,7,6,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,3,4,2,1,NA,NA,NA,NA,"Prioritized research and incentives over regulations, favoring proactive solutions to environmental challenges.",FALSE
4ba8e445-5d4c-4a50-b32a-9b56845216b1,2025-05-22T13:59:40Z,anthropic,claude-3-7-sonnet-20250219-think=low,zh_winterthur,0,5102,1671,1,7,7,2,7,7,7,2,4,5,1,6,4,5,4,7,4,6,5,5,4,3,5,7,4,7,6,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,1,4,2,3,NA,NA,NA,NA,Balanced regulation and incentives for sustainability outperform extreme or hands-off approaches.,FALSE
3356b679-08b5-4b0a-9be1-76565fabe335,2025-05-22T14:00:14Z,anthropic,claude-3-7-sonnet-20250219-think=low,zh_winterthur,0,4579,1331,1,7,7,2,7,7,7,3,5,5,2,6,4,4,3,6,4,6,5,5,4,3,5,7,5,7,6,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,2,3,1,4,NA,NA,NA,NA,I favor incentives and balanced regulation for sustainability over extreme measures or inaction.,FALSE
66c70070-156d-4fdf-8136-a7586210375c,2025-05-22T14:00:40Z,anthropic,claude-3-7-sonnet-20250219-think=low,zh_winterthur,0,5686,1880,1,7,7,1,7,7,7,3,5,5,1,6,4,5,4,6,4,5,4,6,4,3,5,7,5,7,6,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,3,4,1,2,NA,NA,NA,NA,Incentives and research balance sustainability with practicality; extreme approaches less effective.,FALSE
9cdd09a9-8cc0-40a3-9db9-a64048fd0fa7,2025-05-22T13:38:04Z,anthropic,claude-3-7-sonnet-20250219-think=low,zukunft,0,4899,1659,7,7,1,1,1,5,5,2,1,7,2,7,7,7,2,6,6,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,2,5,4,3,1,NA,NA,NA,"More funding for accessible services, addressing socioeconomic factors, and integrated care approaches.",FALSE
66c96e95-4fc7-4c65-b4a3-186db39d56aa,2025-05-22T14:06:57Z,anthropic,claude-3-7-sonnet-20250219-think=low,zukunft,0,4803,1611,7,7,1,1,1,5,3,2,1,7,2,7,7,7,2,6,6,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,1,4,3,2,5,NA,NA,NA,Prioritize social determinants and holistic care over simply adding services or maintaining status quo.,FALSE
2cc02d21-3628-41ff-8194-83e24724c130,2025-05-22T14:07:23Z,anthropic,claude-3-7-sonnet-20250219-think=low,zukunft,0,4330,1301,7,7,1,1,1,5,4,2,1,7,2,7,7,7,2,6,6,7,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,4,5,1,3,6,NA,NA,NA,Prioritize destigmatization while supporting holistic care and addressing social determinants of health.,FALSE
511a62bc-e293-4b02-ad4e-ac7905179fe9,2025-05-22T14:07:46Z,anthropic,claude-3-7-sonnet-20250219-think=low,zukunft,0,4982,1817,7,7,1,1,1,5,5,2,1,7,2,7,7,7,2,6,7,7,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,3,5,4,2,1,NA,NA,NA,Prioritized expanding holistic services and addressing social determinants over private options.,FALSE
c66c7249-7b9b-4f69-a28e-1b88d256a4ef,2025-05-22T14:08:14Z,anthropic,claude-3-7-sonnet-20250219-think=low,zukunft,0,4520,1434,7,7,1,1,1,5,6,2,1,7,2,7,7,7,2,6,6,7,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,4,6,1,2,3,NA,NA,NA,Prioritize awareness and integrated care with increased public funding over privatization or reduction.,FALSE
2783c002-3583-4e7f-8dfc-ce92fd83f070,2025-03-24T21:47:29Z,anthropic,claude-3-haiku-20240307,acp,0,5236,280,7,8,7,7,7,7,4,8,8,8,7,6,3,8,9,9,2,6,7,8,6,2,6,8,10,6,8,3,5,9,10,6,7,9,7,8,8,8,8,4,7,8,10,10,5,10,9,5,NA,NA,5,1,3,2,4,NA,NA,NA,NA,NA,"I support a government that involves all groups, upholds moral principles, and ensures economic markets work well.",FALSE
4e461fff-1b65-4ac9-9828-6f4b7aa36030,2025-03-24T21:47:34Z,anthropic,claude-3-haiku-20240307,acp,0,5236,278,6,8,9,7,8,8,7,9,7,8,7,6,4,8,9,9,3,7,7,8,7,7,6,8,9,6,8,6,7,9,10,7,7,8,7,8,8,8,8,6,8,8,9,9,6,9,9,5,NA,NA,4,3,1,5,2,NA,NA,NA,NA,NA,I support a government that ensures economic markets work well and involves all social groups in policy making.,FALSE
ae6481e0-3670-4718-8e47-68a13e7320a0,2025-03-24T21:47:40Z,anthropic,claude-3-haiku-20240307,acp,0,5236,283,4,7,9,7,8,7,4,8,7,8,6,5,2,7,9,9,3,6,6,7,6,5,6,9,9,6,8,5,7,9,11,7,6,10,6,7,7,8,7,3,6,8,8,9,5,9,8,5,NA,NA,2,5,3,1,4,NA,NA,NA,NA,NA,I support a government with strong moral leadership and equal influence for all Australians over a hands-off economic approach.,FALSE
22bd9e70-4e43-4d9b-b063-8671e84cbeab,2025-03-24T21:47:45Z,anthropic,claude-3-haiku-20240307,acp,0,5236,285,6,7,8,7,7,6,4,9,6,8,6,6,4,7,8,8,4,6,7,3,7,7,6,8,8,6,7,6,7,7,10,6,6,8,7,5,8,8,7,5,6,8,8,9,6,9,8,6,NA,NA,2,5,4,1,3,NA,NA,NA,NA,NA,I support a government focused on economic markets and equal influence for all Australians over one with strong moral leadership or minority involvement.,FALSE
8080afc3-1e77-4b04-a3e6-964929ef7956,2025-03-24T21:47:51Z,anthropic,claude-3-haiku-20240307,acp,0,5236,279,6,8,7,6,6,7,2,8,6,8,7,5,2,8,9,9,1,6,6,7,7,4,9,8,9,6,7,6,7,9,11,6,5,9,7,8,8,8,8,3,3,7,10,10,6,10,7,5,NA,NA,3,4,2,1,5,NA,NA,NA,NA,NA,"Prefer limited government intervention, but with strong moral principles and equal influence for all Australians.",FALSE
202ff2f7-4764-4750-8e67-f0c4d78c6445,2025-03-24T22:00:17Z,anthropic,claude-3-haiku-20240307,auscj,0,4583,271,5,3,3,2,4,2,2,2,4,4,6,5,2,3,4,2,5,4,3,3,4,3,4,3,4,6,6,3,4,4,5,4,5,3,3,3,5,4,5,3,3,2,3,4,5,NA,NA,NA,NA,NA,8,7,5,2,6,1,4,3,NA,NA,"I support limited clinical uses of genome editing with oversight, but have concerns about heritable changes and enhancement.",FALSE
5df678fe-36dd-498a-af83-6819fd48becf,2025-03-24T22:00:22Z,anthropic,claude-3-haiku-20240307,auscj,0,4583,271,5,4,3,2,4,3,3,2,4,5,6,5,3,5,4,3,6,5,4,5,5,4,5,3,4,6,6,4,5,4,6,4,6,4,3,5,6,2,6,4,4,2,3,5,6,NA,NA,NA,NA,NA,3,7,4,1,6,2,8,5,NA,NA,"I support limited clinical uses of genome editing with oversight, but have concerns about heritable and enhancement uses.",FALSE
6d0a5c6c-273d-4716-bc64-ee217425a771,2025-03-24T22:00:28Z,anthropic,claude-3-haiku-20240307,auscj,0,4583,270,4,4,2,2,4,3,4,2,5,5,5,5,4,5,4,4,5,5,3,3,4,4,3,4,5,6,6,4,3,3,6,3,6,4,2,5,5,3,4,4,5,2,3,3,5,NA,NA,NA,NA,NA,6,7,3,4,5,1,8,2,NA,NA,I support limited clinical uses of genome editing with oversight and community input to ensure safety and ethical standards.,FALSE
7a234da4-2c0f-4706-8603-589cbfe2264f,2025-03-24T22:00:34Z,anthropic,claude-3-haiku-20240307,auscj,0,4583,269,5,4,4,2,4,2,5,2,4,5,6,4,4,5,4,4,6,5,4,5,4,3,4,2,4,6,6,6,2,3,6,4,6,3,3,5,6,3,5,3,3,1,3,4,5,NA,NA,NA,NA,NA,1,6,7,3,4,2,5,8,NA,NA,I support clinical uses of genome editing with oversight but have concerns about enhancement and heritable changes.,FALSE
ad9903bf-1ae1-4c8b-84af-ba1cb922abc8,2025-03-24T22:00:40Z,anthropic,claude-3-haiku-20240307,auscj,0,4583,271,5,4,2,2,5,3,2,2,5,4,6,5,5,5,4,2,6,5,4,4,4,4,4,3,5,6,6,5,4,4,6,3,6,3,3,5,6,3,6,3,3,2,3,4,5,NA,NA,NA,NA,NA,2,3,8,4,7,1,6,5,NA,NA,I support limited clinical uses of genome editing with oversight but have concerns about enhancement and unequal access.,FALSE
3bbb9cfd-45d6-455f-b7ed-fb87f14dc767,2025-03-24T21:56:43Z,anthropic,claude-3-haiku-20240307,bep,0,4481,257,2,3,6,5,2,2,3,2,3,2,5,2,2,6,4,6,2,2,3,6,4,4,6,3,6,4,3,4,3,6,6,2,6,2,6,3,6,2,2,6,2,6,6,NA,NA,NA,NA,NA,NA,NA,6,3,1,7,2,5,4,NA,NA,NA,"I support moderate sustainable regulations, radical sustainable food policies, and incentives for local sustainable producers.",FALSE
0e537f11-02ad-4a84-9ad4-d6a08a0ed3ce,2025-03-24T21:56:48Z,anthropic,claude-3-haiku-20240307,bep,0,4481,254,2,2,7,5,2,2,3,2,3,2,5,2,2,6,3,6,3,2,3,6,4,3,6,2,6,4,3,5,3,6,6,2,5,3,6,3,6,2,2,6,2,6,6,NA,NA,NA,NA,NA,NA,NA,7,6,3,4,1,2,5,NA,NA,NA,I support moderate sustainable regulations and adaptation policies over radical regulations or leaving policies unchanged.,FALSE
8e9a0b0a-e3dd-4360-9637-a0c96fdf01fb,2025-03-24T21:56:53Z,anthropic,claude-3-haiku-20240307,bep,0,4481,258,2,2,7,7,2,2,3,2,3,2,5,2,2,6,3,7,2,2,2,7,5,3,7,5,7,3,3,3,3,7,6,2,6,2,7,3,6,2,2,7,2,7,7,NA,NA,NA,NA,NA,NA,NA,3,5,6,1,4,2,7,NA,NA,NA,I support moderate sustainable regulations and incentives for local sustainable production over radical changes or deregulation.,FALSE
2c5cb190-b55d-4226-b6d1-345507270162,2025-03-24T21:56:59Z,anthropic,claude-3-haiku-20240307,bep,0,4481,265,1,2,6,5,1,2,3,1,2,1,4,2,1,6,2,6,2,2,2,6,4,3,6,2,6,3,3,5,2,5,6,2,6,2,6,2,6,2,1,6,1,5,6,NA,NA,NA,NA,NA,NA,NA,3,5,4,2,1,7,6,NA,NA,NA,"I support incentives for local sustainable production, moderate regulations, and resilience-enhancing policies over radical or hands-off approaches.",FALSE
c720ec24-a74e-46a2-a6df-1f69983aca5f,2025-03-24T21:57:04Z,anthropic,claude-3-haiku-20240307,bep,0,4481,263,1,2,6,6,2,2,2,2,2,2,5,2,1,5,3,6,2,1,3,6,4,3,6,4,6,3,3,5,2,6,6,2,6,2,6,2,6,2,1,6,1,6,6,NA,NA,NA,NA,NA,NA,NA,7,5,2,4,6,3,1,NA,NA,NA,"Moderate sustainable regulations and incentives for local sustainable production are most supported, while radical regulations and status quo are least supported.",FALSE
e52cbda0-efe3-424a-a6e7-c085bcaba020,2025-03-24T21:50:06Z,anthropic,claude-3-haiku-20240307,biobanking_mayo_ubc,0,3976,254,7,7,5,6,10,7,4,7,7,6,6,9,6,1,2,7,5,2,4,5,7,3,8,8,3,9,6,4,8,8,4,3,8,5,4,2,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,7,5,6,2,1,NA,NA,NA,"I believe individual consent is most important, but oversight is also critical to prevent discrimination and ensure benefits.",FALSE
6c2d64ac-867d-47fa-b134-46aaba7a670e,2025-03-24T21:50:11Z,anthropic,claude-3-haiku-20240307,biobanking_mayo_ubc,0,3976,252,7,7,5,7,10,3,3,8,7,8,8,9,6,2,2,8,7,4,4,5,6,7,9,8,5,9,7,6,9,8,4,3,9,6,4,3,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,7,3,4,6,1,NA,NA,NA,"I believe individual consent is most important, but oversight and preventing discrimination are also key considerations.",FALSE
764ebbbb-fe97-443d-a990-0605227816f5,2025-03-24T21:50:17Z,anthropic,claude-3-haiku-20240307,biobanking_mayo_ubc,0,3976,252,8,8,5,7,11,7,2,9,7,7,8,10,6,1,1,7,5,2,6,3,7,7,10,9,4,11,6,7,10,9,6,3,9,5,4,2,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,6,2,4,1,3,NA,NA,NA,"My ratings prioritize community benefits, individual consent, and preventing discrimination over strict privacy controls.",FALSE
d066c555-1240-4b38-8d4c-d378610f3997,2025-03-24T21:50:23Z,anthropic,claude-3-haiku-20240307,biobanking_mayo_ubc,0,3955,232,8,7,5,7,10,8,3,7,8,2,7,10,7,2,2,7,5,2,6,4,7,6,8,8,4,10,6,6,9,8,3,3,9,5,4,3,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,6,7,5,2,NA,NA,NA,"I prioritize privacy, oversight, and preventing discrimination over other considerations in biobank research policies.",FALSE
c094caae-267e-4315-b121-6dd3b5d66a36,2025-03-24T21:50:28Z,anthropic,claude-3-haiku-20240307,biobanking_mayo_ubc,0,3976,259,11,11,1,6,11,11,1,11,11,1,1,11,6,1,1,6,6,1,6,1,6,11,11,11,11,11,11,1,11,11,1,1,11,6,1,1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,7,6,3,2,NA,NA,NA,"I strongly support individual consent and oversight for research use of data/samples, with benefits to society/community as a priority.",FALSE
1206a2a7-539c-4343-9a32-2995d220af93,2025-03-24T22:02:05Z,anthropic,claude-3-haiku-20240307,biobanking_wa,0,5127,289,8,8,4,8,10,7,4,9,7,8,8,9,7,2,3,7,7,3,5,6,7,10,9,7,7,10,6,3,9,8,6,6,9,6,5,3,7,8,10,2,4,7,7,2,6,6,9,8,5,NA,4,5,7,3,2,6,1,NA,NA,NA,I support a publicly funded biobank with strong regulation and privacy provisions to maximize public benefit while protecting individuals.,FALSE
7205fb4f-114d-41d8-bfb3-604ab592c66c,2025-03-24T22:02:11Z,anthropic,claude-3-haiku-20240307,biobanking_wa,0,5127,289,8,8,5,9,10,7,4,8,7,7,8,10,7,2,4,8,6,4,5,6,6,9,9,7,7,10,5,6,9,8,3,7,9,7,6,3,7,7,10,2,5,8,8,5,7,7,9,8,6,NA,6,7,5,3,2,4,1,NA,NA,NA,I support publicly funded biobanks with strong regulation and privacy provisions over privately funded systems with minimal oversight.,FALSE
0ce94008-3506-4b3d-8f19-2960daba6dab,2025-03-24T22:02:17Z,anthropic,claude-3-haiku-20240307,biobanking_wa,0,5148,310,7,8,4,8,10,7,4,9,8,7,8,9,8,2,3,7,6,3,6,3,7,9,9,6,7,10,6,6,9,8,2,7,9,7,6,3,7,8,10,2,6,8,7,5,5,7,9,8,5,NA,2,5,4,3,6,7,1,NA,NA,NA,I support a publicly funded biobank with strong regulation to ensure privacy and oversight while minimizing private influence.,FALSE
a5962e59-e670-4d79-aaa8-22f2449f4bf1,2025-03-24T22:02:23Z,anthropic,claude-3-haiku-20240307,biobanking_wa,0,5148,317,8,7,4,8,10,7,3,8,7,7,7,8,7,2,3,7,6,3,5,5,7,9,8,6,7,9,6,4,9,8,3,7,8,6,5,5,6,5,9,2,6,8,7,3,6,6,8,7,6,NA,1,2,4,6,7,3,5,NA,NA,NA,"I prioritized high privacy, cautious implementation, and publicly funded biobanking with strong regulation over less regulated private or minimal government options.",FALSE
e8875b56-bb5f-4bad-b5d3-338fec5a69f0,2025-03-24T22:02:29Z,anthropic,claude-3-haiku-20240307,biobanking_wa,0,5127,283,7,8,4,8,9,8,4,8,7,7,8,9,7,2,3,7,6,3,5,3,7,8,8,7,7,9,5,6,8,7,6,6,7,7,6,4,7,7,9,2,5,7,7,4,6,6,8,5,6,NA,3,2,6,5,7,4,1,NA,NA,NA,I prioritized strong privacy and government oversight over private funding and minimal regulation.,FALSE
279f302a-b7b8-454c-80b3-c5eb9bd99790,2025-03-24T21:48:23Z,anthropic,claude-3-haiku-20240307,ccps,0,3488,213,2,3,2,8,4,2,4,9,9,1,2,5,2,2,9,8,6,7,10,7,2,3,4,2,9,8,6,3,8,10,3,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,1,3,4,6,2,NA,NA,NA,I support strong emissions cuts and adaptation policies but am skeptical of leaving policy as is or prioritizing growth over climate action.,FALSE
23a7916b-98b7-4c63-8c37-85776d34ee75,2025-03-24T21:48:28Z,anthropic,claude-3-haiku-20240307,ccps,0,3488,204,3,6,2,9,5,2,6,10,10,2,4,7,6,5,10,8,6,9,10,8,2,3,7,4,10,9,7,3,8,7,3,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,1,3,4,2,5,NA,NA,NA,I support strong emissions cuts and adaptation policies over economic growth or status quo policies.,FALSE
016eddf2-dcfe-432c-b545-6dd2d3737f19,2025-03-24T21:48:32Z,anthropic,claude-3-haiku-20240307,ccps,0,3509,229,2,3,2,10,4,2,2,10,10,1,2,3,3,3,10,8,6,10,11,7,3,3,6,2,10,10,6,3,7,9,2,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,1,2,3,4,6,NA,NA,NA,I support adaptation and mitigation policies that balance economic growth and climate action through new technologies and approaches.,FALSE
